Namespace(AF2model=True, batch_size=64, contrast=False, device='0', dropout=0.2, esmembed=True, max_hop=4, pooling='MTP', suffix='adpr1C', task='mf')
加载数据---------
加载完成---------
output_dim: 489
开始训练--------
[2026-04-25 02:30:39.048479] 0/0 train_epoch ||| Task Loss: 0.696
[2026-04-25 02:30:49.562949] 20/0 train_epoch ||| Task Loss: 0.256
[2026-04-25 02:30:58.213331] 40/0 train_epoch ||| Task Loss: 0.074
[2026-04-25 02:31:06.624452] 60/0 train_epoch ||| Task Loss: 0.06
[2026-04-25 02:31:14.464128] 80/0 train_epoch ||| Task Loss: 0.05
[2026-04-25 02:31:20.662913] 100/0 train_epoch ||| Task Loss: 0.053
[2026-04-25 02:31:26.831996] 120/0 train_epoch ||| Task Loss: 0.048
[2026-04-25 02:31:33.495974] 140/0 train_epoch ||| Task Loss: 0.062
[2026-04-25 02:31:40.031057] 160/0 train_epoch ||| Task Loss: 0.054
[2026-04-25 02:31:45.953311] 180/0 train_epoch ||| Task Loss: 0.039
[2026-04-25 02:31:50.848172] 200/0 train_epoch ||| Task Loss: 0.051
[2026-04-25 02:31:56.172046] 220/0 train_epoch ||| Task Loss: 0.055
[2026-04-25 02:32:02.269171] 240/0 train_epoch ||| Task Loss: 0.055
[2026-04-25 02:32:08.160194] 260/0 train_epoch ||| Task Loss: 0.051
[2026-04-25 02:32:13.464345] 280/0 train_epoch ||| Task Loss: 0.052
[2026-04-25 02:32:19.305254] 300/0 train_epoch ||| Task Loss: 0.053
[2026-04-25 02:32:23.665168] 320/0 train_epoch ||| Task Loss: 0.045
[2026-04-25 02:32:27.854670] 340/0 train_epoch ||| Task Loss: 0.053
[2026-04-25 02:32:32.025849] 360/0 train_epoch ||| Task Loss: 0.054
[2026-04-25 02:32:37.555867] 380/0 train_epoch ||| Task Loss: 0.05
[2026-04-25 02:32:41.889200] 400/0 train_epoch ||| Task Loss: 0.05
[2026-04-25 02:32:46.867192] 420/0 train_epoch ||| Task Loss: 0.051
[2026-04-25 02:32:50.948248] 440/0 train_epoch ||| Task Loss: 0.048
[2026-04-25 02:32:55.958150] 460/0 train_epoch ||| Task Loss: 0.047
[2026-04-25 02:33:01.064368] 480/0 train_epoch ||| Task Loss: 0.044
[2026-04-25 02:33:06.569688] 500/0 train_epoch ||| Task Loss: 0.044
[2026-04-25 02:33:12.462139] 520/0 train_epoch ||| Task Loss: 0.043
[2026-04-25 02:33:16.960836] 540/0 train_epoch ||| Task Loss: 0.047
[2026-04-25 02:33:21.924184] 560/0 train_epoch ||| Task Loss: 0.049
[2026-04-25 02:33:28.373187] 580/0 train_epoch ||| Task Loss: 0.04
